run_id,scenario_name,agent_model.field_observer,agent_model.stabilization_engineer,agent_provider.field_observer,agent_provider.stabilization_engineer,agent_role.field_observer,agent_role.stabilization_engineer,current_round,derivation_type,duration_seconds,has_evaluation,has_note,knob.agent_max_tokens,knob.announce_swap,knob.channel_noise_level,knob.easy_round_numbers,knob.intern_enabled,knob.intern_join_round,knob.intern_takeover_round,knob.judge_model,knob.judge_provider,knob.max_round_duration_seconds,knob.model_overrides,knob.model_overrides.field_observer.model,knob.model_overrides.field_observer.provider,knob.model_overrides.stabilization_engineer.model,knob.model_overrides.stabilization_engineer.provider,knob.postmortem_after_swap,knob.postmortem_disabled_at_start,knob.postmortem_duration_seconds,knob.postmortem_enabled,knob.replace_agent_default_channel_visibility.postmortem,knob.replace_agent_default_channel_visibility.postmortem_a,knob.replace_agent_default_channel_visibility.postmortem_b,knob.round_count,knob.round_time_budget_seconds,knob.scheduled_events,knob.seed,knob.swap_round,knob.two_teams,label_flag.baseline_oss,labels,model_class,models,provider,run_dir,run_dir_name,status,timestamp,total_cost_usd,total_messages,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence,metric_rounds.communication_feature_presence,metric_rounds.communication_open_coding,metric_rounds.content_filter_refusal,metric_rounds.english_ngram_backoff_surprisal,metric_rounds.english_ngram_surprisal,metric_rounds.gzip_compression_ratio,metric_rounds.language_emergence,metric_rounds.language_strangeness,metric_rounds.mean_chars_per_message,metric_rounds.mean_chars_per_round,metric_rounds.mean_message_length,metric_rounds.mean_word_length,metric_rounds.message_entropy,metric_rounds.neologism,metric_rounds.perplexity,metric_rounds.postmortem_ended_timeout,metric_rounds.protocol_probe,metric_rounds.round_ended_idle,metric_rounds.round_ended_timeout,metric_rounds.round_success,metric_rounds.shorthand_codes,metric_rounds.slang_emergence
veyru/1777920823,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,3644.785279,True,False,4096,False,0.0,,False,,,claude-haiku-4-5-20251001,anthropic,600.0,{},,,,,True,False,240.0,True,False,False,False,15,800,,42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1777920823,1777920823,scenario_complete,2026-05-04T18:53:43+00:00,0.0,83,18.0,11.0,0.0,4.111076391722753,3.1169018688769152,1.2181886897299299,13.0,7.0,54.142857142857146,,8.771428571428572,5.286644951140065,3.111084517231383,0.0,6.743024626881087,3.0,,10.0,2.0,0.13333333333333333,12.0,0.0,0,0,0,14,14,14,13,7,14,,14,14,14,0,14,3,,10,2,15,12,0
veyru/1780571879,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2366.907137,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,800,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780571879,1780571879,scenario_complete,2026-06-04T11:17:59+00:00,0.0,365,4.0,10.0,0.0,2.3507114726466,2.3566948430033863,0.7789393530759967,,1.0,143.72527472527472,,,,4.1486791299490235,2.0,4.806830032023172,13.0,,0.0,0.0,0.13333333333333333,2.0,2.0,0,0,0,15,15,15,,1,15,,,,15,2,15,13,,0,0,15,2,2
veyru/1780571883,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2627.232709,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,2000,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780571883,1780571883,scenario_complete,2026-06-04T11:18:03+00:00,0.0,409,11.0,9.0,0.0,2.317971222842919,2.3423711061129224,0.754950137610397,,3.0,147.0,,,,4.16841233149255,0.0,4.891788274545112,10.0,,2.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,15,15,15,,3,15,,,,15,0,15,10,,2,0,15,0,0
veyru/1780571887,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2234.31871,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,150,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780571887,1780571887,scenario_complete,2026-06-04T11:18:07+00:00,0.0,111,24.0,13.0,0.0,3.2983731006819155,3.2438970461846863,1.0047966038297549,,13.0,48.4,,,,4.164436007608603,0.0,6.569320374064975,0.0,,6.0,0.0,0.0,15.0,0.0,0,0,0,15,15,15,,13,15,,,,15,0,15,0,,6,0,15,15,0
veyru/1780572066,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,1844.32565,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,150,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780572066,1780572066,scenario_complete,2026-06-04T11:21:06+00:00,0.0,68,12.0,10.0,0.0,2.7887185567812307,2.9069555379589334,0.9286535251264464,,14.0,84.61764705882354,,,,4.042767693626345,0.0,5.768006642659505,0.0,,1.0,0.0,0.0,13.0,0.0,0,0,0,15,15,15,,14,15,,,,15,0,15,0,,1,0,15,13,0
veyru/1780576077,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2618.689129,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,250,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780576077,1780576077,scenario_complete,2026-06-04T12:27:57+00:00,0.0,115,24.0,15.0,0.0,4.775499162756921,3.7017080815581958,1.0017888565325823,,15.0,51.23529411764706,,,,4.103380458360517,0.0,5.678908057818337,1.0,,9.0,0.0,0.0,15.0,0.0,0,0,0,15,15,15,,15,15,,,,15,0,15,1,,9,0,15,15,0
veyru/1780576803,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,3424.723603,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,250,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780576803,1780576803,scenario_complete,2026-06-04T12:40:03+00:00,0.0,100,19.0,13.0,0.0,3.142427182210589,3.0680648507444426,0.9792219720059674,,10.0,58.294117647058826,,,,4.177810237283642,0.0,6.09334714545144,1.0,,8.0,1.0,0.0,10.0,0.0,0,0,0,15,15,15,,10,15,,,,15,0,15,1,,8,1,15,10,0
veyru/1780578775,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,7647.945121,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,450,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780578775,1780578775,scenario_complete,2026-06-04T13:12:55+00:00,0.0,166,26.0,13.0,0.0,3.189471059440668,3.1409762332697126,1.0065648186659744,,12.0,50.903225806451616,,,,3.862469655504397,0.0,6.167978841693479,6.0,,2.0,7.0,0.0,8.0,3.0,0,0,0,15,15,15,,12,15,,,,15,0,15,6,,2,7,15,8,3
veyru/1780580283,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,5181.687296,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,450,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780580283,1780580283,scenario_complete,2026-06-04T13:38:03+00:00,0.0,218,24.0,19.0,0.0,3.4448249822582215,3.248550316440141,1.068909800785541,,9.0,46.792792792792795,,,,3.829905819754227,0.0,6.291933158836864,4.0,,9.0,0.0,0.0,15.0,1.0,0,0,0,14,14,14,,9,14,,,,14,0,14,4,,9,0,15,15,1
veyru/1780585532,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,6255.084026,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,800,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780585532,1780585532,scenario_complete,2026-06-04T15:05:32+00:00,0.0,274,19.0,11.0,0.0,3.17188406404083,2.9885282324227536,0.933953243105772,,6.0,49.33898305084746,,,,3.9850108897546224,0.0,6.048436546723886,2.0,,5.0,2.0,0.13333333333333333,11.0,0.0,0,0,0,15,15,15,,6,15,,,,15,0,15,2,,5,2,15,11,0
veyru/1780591851,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,3810.566324,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,2000,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780591851,1780591851,scenario_complete,2026-06-04T16:50:51+00:00,0.0,220,12.0,11.0,0.0,2.578887123268713,2.658820101999349,0.870545463321779,,7.0,108.27102803738318,,,,4.183133469387314,0.0,5.795303058668419,3.0,,8.0,0.0,0.3333333333333333,10.0,4.0,0,0,0,15,15,15,,7,15,,,,15,0,15,3,,8,0,15,10,4
veyru/1780592371,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,9745.41493,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,True,False,240.0,True,False,False,False,15,2000,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780592371,1780592371,scenario_complete,2026-06-04T16:59:31+00:00,0.0,125,15.0,11.0,0.0,2.6729547741355906,2.7208265197705996,0.8476616574052986,,9.0,113.58,,,,4.331033474383727,0.0,6.133075686737343,10.0,,6.0,9.0,0.0,3.0,0.0,0,0,0,15,15,15,,9,15,,,,15,0,15,10,,6,9,15,3,0
veyru/1780595722,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,1408.443901,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,False,False,240.0,False,False,False,False,15,150,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1780595722,1780595722,scenario_complete,2026-06-04T17:55:22+00:00,0.0,55,20.0,13.0,0.0,2.689910018223409,2.748028670241723,0.9717965290141254,,15.0,54.72727272727273,,,,3.9763849925228953,0.0,6.245719389915466,,,0.0,0.0,0.0,0.0,5.0,0,0,0,15,15,15,,15,15,,,,15,0,15,,,0,0,15,0,5
